"Li_ID","Li_Gender","Li_DOB","Li_OccupationClass"
"LI200000","Female",1964-05-23,"001"
"LI200001","Male",1964-10-05,"002"
"LI200002","Male",1964-03-30,"001"
"LI200003","Female",1964-05-17,"001"
"LI200004","Female",1964-08-12,"003"
"LI200005","Male",1964-03-16,"004"
"LI200006","Male",1964-09-26,"001"
"LI200007","Female",1964-07-20,"001"
"LI200008","Male",1964-05-04,"003"
"LI200009","Male",1964-12-14,"004"
"LI200010","Male",1964-02-20,"001"
"LI200011","Female",1964-12-13,"003"
"LI200012","Male",1964-10-06,"004"
"LI200013","Female",1964-06-07,"004"
"LI200014","Male",1964-04-24,"001"
"LI200015","Female",1964-08-31,"003"
"LI200016","Female",1964-02-09,"004"
"LI200017","Male",1964-11-21,"002"
"LI200018","Male",1964-12-11,"001"
"LI200019","Female",1964-01-07,"004"
"LI200020","Male",1964-12-18,"001"
"LI200021","Female",1964-10-26,"003"
"LI200022","Male",1964-09-14,"003"
"LI200023","Male",1964-10-23,"004"
"LI200024","Male",1964-07-21,"004"
"LI200025","Male",1964-07-19,"003"
"LI200026","Male",1964-02-29,"003"
"LI200027","Male",1964-10-19,"001"
"LI200028","Male",1964-09-04,"001"
"LI200029","Female",1964-10-16,"004"
"LI200030","Female",1964-11-14,"001"
"LI200031","Female",1964-11-02,"004"
"LI200032","Female",1964-10-31,"003"
"LI200033","Female",1964-10-20,"004"
"LI200034","Male",1964-09-03,"001"
"LI200035","Female",1964-12-13,"001"
"LI200036","Male",1964-11-21,"002"
"LI200037","Female",1964-03-26,"004"
"LI200038","Male",1964-03-10,"003"
"LI200039","Male",1964-07-10,"003"
"LI200040","Female",1964-02-20,"003"
"LI200041","Male",1964-11-20,"001"
"LI200042","Male",1964-10-07,"002"
"LI200043","Female",1964-11-10,"004"
"LI200044","Male",1964-05-28,"003"
"LI200045","Female",1964-12-01,"003"
"LI200046","Female",1964-08-05,"003"
"LI200047","Female",1964-06-17,"002"
"LI200048","Male",1964-02-24,"001"
"LI200049","Male",1964-07-24,"001"
"LI200050","Male",1964-08-01,"002"
"LI200051","Female",1964-11-14,"002"
"LI200052","Female",1964-11-26,"002"
"LI200053","Male",1964-01-28,"003"
"LI200054","Female",1964-08-11,"003"
"LI200055","Female",1964-03-10,"003"
"LI200056","Female",1964-05-09,"003"
"LI200057","Female",1964-01-23,"003"
"LI200058","Female",1964-11-25,"001"
"LI200059","Female",1964-02-29,"002"
"LI200060","Female",1964-05-31,"001"
"LI200061","Female",1964-05-11,"001"
"LI200062","Female",1964-01-29,"001"
"LI200063","Male",1964-05-02,"003"
"LI200064","Male",1964-01-19,"002"
"LI200065","Female",1964-09-05,"002"
"LI200066","Female",1964-01-06,"001"
"LI200067","Female",1964-08-16,"001"
"LI200068","Male",1964-08-31,"004"
"LI200069","Male",1964-09-06,"004"
"LI200070","Female",1964-01-07,"001"
"LI200071","Female",1964-06-19,"002"
"LI200072","Female",1964-01-22,"004"
"LI200073","Male",1964-08-08,"001"
"LI200074","Female",1964-09-28,"003"
"LI200075","Male",1964-12-05,"002"
"LI200076","Male",1964-02-12,"003"
"LI200077","Female",1964-10-08,"002"
"LI200078","Male",1964-11-02,"001"
"LI200079","Female",1964-03-02,"001"
"LI200080","Female",1964-05-30,"002"
"LI200081","Male",1964-09-23,"002"
"LI200082","Female",1964-05-12,"001"
"LI200083","Male",1964-03-31,"001"
"LI200084","Female",1964-02-22,"003"
"LI200085","Female",1964-07-08,"001"
"LI200086","Male",1964-05-05,"002"
"LI200087","Female",1964-11-21,"002"
"LI200088","Male",1964-07-12,"002"
"LI200089","Male",1964-10-04,"002"
"LI200090","Female",1964-02-19,"003"
"LI200091","Male",1964-06-28,"002"
"LI200092","Female",1964-03-30,"004"
"LI200093","Female",1964-07-09,"001"
"LI200094","Female",1964-10-28,"002"
"LI200095","Male",1964-05-20,"001"
"LI200096","Female",1964-05-01,"004"
"LI200097","Female",1964-01-21,"001"
"LI200098","Male",1964-11-30,"003"
"LI200099","Male",1964-11-11,"003"
"LI200100","Male",1964-12-11,"003"
"LI200101","Male",1964-08-15,"004"
"LI200102","Female",1964-03-27,"004"
"LI200103","Male",1964-03-07,"001"
"LI200104","Female",1964-07-21,"003"
"LI200105","Female",1964-06-11,"004"
"LI200106","Male",1964-01-20,"003"
"LI200107","Male",1964-11-01,"001"
"LI200108","Male",1964-11-02,"004"
"LI200109","Female",1964-12-21,"002"
"LI200110","Male",1964-08-13,"002"
"LI200111","Female",1964-01-15,"001"
"LI200112","Female",1964-10-14,"004"
"LI200113","Male",1964-08-01,"004"
"LI200114","Female",1964-06-14,"003"
"LI200115","Male",1964-06-05,"004"
"LI200116","Female",1964-08-14,"002"
"LI200117","Male",1964-02-08,"004"
"LI200118","Female",1964-03-01,"004"
"LI200119","Female",1964-05-16,"002"
"LI200120","Male",1964-11-13,"001"
"LI200121","Female",1964-01-06,"002"
"LI200122","Female",1964-05-25,"004"
"LI200123","Male",1964-09-16,"004"
"LI200124","Male",1964-05-11,"001"
"LI200125","Female",1964-07-15,"001"
"LI200126","Male",1964-03-02,"001"
"LI200127","Male",1964-10-31,"003"
"LI200128","Female",1964-12-15,"004"
"LI200129","Female",1964-04-18,"002"
"LI200130","Female",1964-07-09,"001"
"LI200131","Male",1964-02-04,"004"
"LI200132","Female",1964-05-10,"003"
"LI200133","Male",1964-06-06,"001"
"LI200134","Male",1964-11-16,"001"
"LI200135","Male",1964-01-11,"004"
"LI200136","Male",1964-01-19,"004"
"LI200137","Male",1964-11-09,"001"
"LI200138","Female",1964-05-31,"004"
"LI200139","Female",1964-09-12,"003"
"LI200140","Male",1964-09-16,"003"
"LI200141","Female",1964-04-23,"002"
"LI200142","Female",1964-06-06,"004"
"LI200143","Male",1964-06-19,"004"
"LI200144","Male",1964-12-18,"002"
"LI200145","Female",1964-12-03,"003"
"LI200146","Male",1964-12-18,"003"
"LI200147","Female",1964-05-11,"001"
"LI200148","Female",1964-08-14,"002"
"LI200149","Female",1964-02-09,"004"
"LI200150","Male",1964-06-21,"001"
"LI200151","Female",1964-02-28,"001"
"LI200152","Female",1964-06-17,"002"
"LI200153","Male",1964-02-03,"004"
"LI200154","Female",1964-10-12,"003"
"LI200155","Male",1964-09-27,"001"
"LI200156","Male",1964-05-15,"001"
"LI200157","Female",1964-01-26,"001"
"LI200158","Female",1964-10-09,"001"
"LI200159","Male",1964-06-23,"001"
"LI200160","Female",1964-04-10,"003"
"LI200161","Male",1964-10-05,"001"
"LI200162","Female",1964-05-16,"003"
"LI200163","Male",1964-12-26,"004"
"LI200164","Female",1964-11-30,"001"
"LI200165","Female",1964-11-25,"004"
"LI200166","Female",1964-09-03,"001"
"LI200167","Male",1964-02-22,"002"
"LI200168","Female",1964-12-16,"004"
"LI200169","Male",1964-03-22,"002"
"LI200170","Male",1964-10-15,"003"
"LI200171","Female",1964-03-29,"003"
"LI200172","Male",1964-10-05,"001"
"LI200173","Female",1964-05-11,"004"
"LI200174","Male",1964-01-06,"002"
"LI200175","Male",1964-04-18,"002"
"LI200176","Male",1964-10-10,"004"
"LI200177","Female",1964-05-20,"003"
"LI200178","Female",1964-11-05,"003"
"LI200179","Female",1964-10-09,"001"
"LI200180","Male",1964-01-24,"004"
"LI200181","Female",1964-04-29,"002"
"LI200182","Female",1964-12-16,"004"
"LI200183","Female",1964-09-30,"003"
"LI200184","Female",1964-10-06,"002"
"LI200185","Male",1964-01-19,"004"
"LI200186","Female",1964-05-03,"001"
"LI200187","Female",1964-01-04,"004"
"LI200188","Male",1964-11-27,"004"
"LI200189","Male",1964-01-24,"002"
"LI200190","Male",1964-05-17,"004"
"LI200191","Male",1964-10-18,"001"
"LI200192","Female",1964-10-20,"002"
"LI200193","Female",1964-10-12,"004"
"LI200194","Female",1964-08-01,"001"
"LI200195","Female",1964-07-29,"002"
"LI200196","Female",1964-08-11,"001"
"LI200197","Female",1964-02-15,"003"
"LI200198","Female",1964-02-28,"001"
"LI200199","Female",1964-07-08,"003"
"LI200200","Female",1964-02-19,"001"
"LI200201","Female",1964-08-25,"002"
"LI200202","Female",1964-06-06,"003"
"LI200203","Male",1964-04-16,"001"
"LI200204","Female",1964-08-12,"001"
"LI200205","Female",1964-01-28,"002"
"LI200206","Male",1964-01-08,"004"
"LI200207","Female",1964-11-16,"001"
"LI200208","Male",1964-03-21,"003"
"LI200209","Female",1964-09-03,"003"
"LI200210","Female",1964-09-01,"003"
"LI200211","Female",1964-04-13,"002"
"LI200212","Male",1964-01-30,"003"
"LI200213","Male",1964-12-06,"004"
"LI200214","Male",1964-02-18,"003"
"LI200215","Female",1964-02-18,"004"
"LI200216","Male",1964-08-11,"001"
"LI200217","Female",1964-01-29,"001"
"LI200218","Female",1964-04-27,"002"
"LI200219","Female",1964-10-30,"004"
"LI200220","Female",1964-06-26,"001"
"LI200221","Female",1964-11-02,"002"
"LI200222","Male",1964-03-03,"002"
"LI200223","Male",1964-03-29,"002"
"LI200224","Female",1964-02-21,"004"
"LI200225","Female",1964-09-17,"004"
"LI200226","Male",1964-03-15,"004"
"LI200227","Female",1964-12-13,"004"
"LI200228","Male",1964-08-02,"004"
"LI200229","Male",1964-01-12,"001"
"LI200230","Female",1964-01-18,"004"
"LI200231","Male",1964-03-28,"003"
"LI200232","Female",1964-01-14,"002"
"LI200233","Male",1964-08-06,"003"
"LI200234","Male",1964-09-26,"003"
"LI200235","Female",1964-10-17,"002"
"LI200236","Male",1964-04-29,"004"
"LI200237","Female",1964-07-03,"003"
"LI200238","Male",1964-09-05,"003"
"LI200239","Male",1964-05-18,"002"
"LI200240","Female",1964-05-13,"001"
"LI200241","Male",1964-03-23,"001"
"LI200242","Female",1964-12-30,"001"
"LI200243","Male",1964-05-15,"001"
"LI200244","Female",1964-01-29,"003"
"LI200245","Female",1964-10-01,"004"
"LI200246","Female",1964-12-16,"002"
"LI200247","Male",1964-04-25,"003"
"LI200248","Female",1964-12-01,"004"
"LI200249","Male",1964-04-28,"004"
"LI200250","Male",1964-11-26,"002"
"LI200251","Female",1964-04-19,"003"
"LI200252","Female",1964-10-30,"001"
"LI200253","Male",1964-06-22,"002"
"LI200254","Male",1964-08-06,"003"
"LI200255","Female",1964-10-21,"004"
"LI200256","Male",1964-04-14,"001"
"LI200257","Female",1964-12-03,"004"
"LI200258","Male",1964-04-19,"004"
"LI200259","Female",1964-01-08,"004"
"LI200260","Male",1964-07-14,"001"
"LI200261","Male",1964-11-10,"002"
"LI200262","Male",1964-06-02,"004"
"LI200263","Female",1964-03-22,"004"
"LI200264","Male",1964-07-29,"004"
"LI200265","Male",1964-04-13,"002"
"LI200266","Female",1964-07-01,"004"
"LI200267","Male",1964-03-01,"001"
"LI200268","Male",1964-06-08,"004"
"LI200269","Female",1964-12-16,"001"
"LI200270","Female",1964-11-30,"001"
"LI200271","Female",1964-10-20,"002"
"LI200272","Male",1964-07-01,"001"
"LI200273","Female",1964-01-09,"003"
"LI200274","Male",1964-08-17,"003"
"LI200275","Female",1964-01-10,"002"
"LI200276","Male",1964-01-29,"004"
"LI200277","Female",1964-01-29,"003"
"LI200278","Male",1964-12-07,"002"
"LI200279","Male",1964-04-19,"003"
"LI200280","Female",1964-05-20,"003"
"LI200281","Male",1964-07-21,"003"
"LI200282","Female",1964-01-05,"001"
"LI200283","Male",1964-12-14,"002"
"LI200284","Male",1964-05-23,"003"
"LI200285","Female",1964-09-28,"004"
"LI200286","Female",1964-10-15,"003"
"LI200287","Female",1964-08-20,"002"
"LI200288","Female",1964-08-18,"001"
"LI200289","Female",1964-06-28,"003"
"LI200290","Male",1964-12-29,"004"
"LI200291","Female",1964-03-14,"002"
"LI200292","Female",1964-01-07,"004"
"LI200293","Female",1964-02-04,"004"
"LI200294","Male",1964-04-14,"002"
"LI200295","Male",1964-08-29,"004"
"LI200296","Female",1964-02-20,"001"
"LI200297","Female",1964-11-06,"004"
"LI200298","Female",1964-09-24,"001"
"LI200299","Male",1964-09-16,"001"
"LI200300","Male",1964-01-14,"001"
"LI200301","Female",1964-05-26,"001"
"LI200302","Female",1964-10-02,"002"
"LI200303","Female",1964-09-10,"003"
"LI200304","Male",1964-01-14,"003"
"LI200305","Male",1964-12-05,"002"
"LI200306","Male",1964-12-09,"001"
"LI200307","Female",1964-04-23,"004"
