"Li_ID","Li_Gender","Li_DOB","Li_OccupationClass"
"LI300000","Female",1966-03-01,"003"
"LI300001","Male",1966-03-15,"004"
"LI300002","Female",1966-01-31,"001"
"LI300003","Male",1966-08-08,"001"
"LI300004","Male",1966-06-12,"002"
"LI300005","Male",1966-04-20,"001"
"LI300006","Male",1966-07-25,"001"
"LI300007","Female",1966-08-20,"002"
"LI300008","Male",1966-09-22,"001"
"LI300009","Female",1966-08-02,"003"
"LI300010","Female",1966-01-12,"001"
"LI300011","Male",1966-12-24,"002"
"LI300012","Male",1966-03-27,"004"
"LI300013","Male",1966-06-12,"003"
"LI300014","Female",1966-02-16,"003"
"LI300015","Female",1966-10-28,"004"
"LI300016","Female",1966-10-28,"001"
"LI300017","Male",1966-07-25,"001"
"LI300018","Female",1966-03-29,"003"
"LI300019","Female",1966-10-12,"004"
"LI300020","Male",1966-12-18,"004"
"LI300021","Male",1966-09-09,"002"
"LI300022","Male",1966-05-06,"004"
"LI300023","Male",1966-06-20,"003"
"LI300024","Female",1966-10-11,"004"
"LI300025","Male",1966-07-09,"002"
"LI300026","Female",1966-09-27,"001"
"LI300027","Male",1966-06-10,"003"
"LI300028","Female",1966-05-25,"002"
"LI300029","Male",1966-12-01,"003"
"LI300030","Male",1966-03-25,"001"
"LI300031","Male",1966-01-17,"002"
"LI300032","Female",1966-04-16,"004"
"LI300033","Female",1966-01-14,"002"
"LI300034","Female",1966-03-02,"003"
"LI300035","Female",1966-07-08,"001"
"LI300036","Female",1966-05-16,"001"
"LI300037","Male",1966-06-14,"004"
"LI300038","Female",1966-05-26,"003"
"LI300039","Female",1966-07-13,"003"
"LI300040","Male",1966-03-28,"002"
"LI300041","Female",1966-09-09,"002"
"LI300042","Male",1966-11-16,"001"
"LI300043","Male",1966-03-23,"002"
"LI300044","Male",1966-10-05,"003"
"LI300045","Male",1966-11-25,"003"
"LI300046","Female",1966-02-01,"003"
"LI300047","Male",1966-08-09,"004"
"LI300048","Male",1966-11-27,"004"
"LI300049","Female",1966-09-17,"004"
"LI300050","Female",1966-12-17,"001"
"LI300051","Female",1966-06-17,"002"
"LI300052","Female",1966-12-07,"001"
"LI300053","Male",1966-09-24,"004"
"LI300054","Male",1966-05-18,"003"
"LI300055","Female",1966-02-10,"001"
"LI300056","Male",1966-07-26,"002"
"LI300057","Female",1966-05-30,"004"
"LI300058","Female",1966-01-06,"003"
"LI300059","Male",1966-07-24,"001"
"LI300060","Female",1966-12-13,"001"
"LI300061","Male",1966-09-02,"004"
"LI300062","Female",1966-12-27,"003"
"LI300063","Female",1966-11-26,"003"
"LI300064","Male",1966-09-27,"004"
"LI300065","Female",1966-12-12,"003"
"LI300066","Male",1966-09-06,"003"
"LI300067","Male",1966-04-25,"004"
"LI300068","Male",1966-05-27,"003"
"LI300069","Male",1966-04-20,"002"
"LI300070","Male",1966-06-22,"003"
"LI300071","Female",1966-11-18,"003"
"LI300072","Male",1966-07-24,"003"
"LI300073","Male",1966-12-06,"002"
